Date,DateTime,FunctionName,Value,Time,shift_wise
03-04-2023,13,Chaser Veg,0,13,1
03-04-2023,14,Chaser Veg,0,14,1
03-04-2023,14,Chaser Veg,0,14,1
03-04-2023,15,Chaser Veg,0,15,1
03-04-2023,15,Chaser Veg,0,15,1
03-04-2023,16,Chaser Veg,0,16,1
03-04-2023,16,Chaser Veg,0,16,1
03-04-2023,17,Chaser Veg,0,17,1
03-04-2023,17,Chaser Veg,0,17,1
03-04-2023,18,Chaser Veg,0,18,1
03-04-2023,18,Chaser Veg,0,18,1
03-04-2023,19,Chaser Veg,0,19,1
03-04-2023,19,Chaser Veg,0,19,1
03-04-2023,20,Chaser Veg,0,20,1
03-04-2023,20,Chaser Veg,0,20,1
03-04-2023,21,Chaser Veg,0,21,1
03-04-2023,21,Chaser Veg,0,21,1
03-04-2023,22,Chaser Veg,0,22,1
03-04-2023,22,Chaser Veg,0,22,1
03-04-2023,23,Chaser Veg,0,23,1
03-04-2023,23,Chaser Veg,0,23,1
04-04-2023,24,Chaser Veg,0,0,1
04-04-2023,24,Chaser Veg,0,0,1
04-04-2023,25,Chaser Veg,0,1,1
04-04-2023,25,Chaser Veg,0,1,1
04-04-2023,26,Chaser Veg,0,2,1
04-04-2023,26,Chaser Veg,0,2,1
04-04-2023,27,Chaser Veg,0,3,1
04-04-2023,27,Chaser Veg,0,3,1
04-04-2023,28,Chaser Veg,0,4,1
04-04-2023,28,Chaser Veg,0,4,1
04-04-2023,29,Chaser Veg,0,5,1
04-04-2023,29,Chaser Veg,0,5,1
03-04-2023,6,DT-Presenter,0,6,1
03-04-2023,6,DT-Presenter,0,6,1
03-04-2023,7,DT-Presenter,0,7,1
03-04-2023,7,DT-Presenter,0,7,1
03-04-2023,8,DT-Presenter,0,8,1
03-04-2023,8,DT-Presenter,0,8,1
03-04-2023,9,DT-Presenter,0,9,1
03-04-2023,9,DT-Presenter,0,9,1
03-04-2023,10,DT-Presenter,0,10,1
03-04-2023,10,DT-Presenter,0,10,1
03-04-2023,11,DT-Presenter,0,11,1
03-04-2023,11,DT-Presenter,0,11,1
03-04-2023,12,DT-Presenter,0,12,1
03-04-2023,12,DT-Presenter,0,12,1
03-04-2023,13,DT-Presenter,0,13,1
03-04-2023,13,DT-Presenter,0,13,1
03-04-2023,14,DT-Presenter,0,14,1
03-04-2023,14,DT-Presenter,0,14,1
03-04-2023,15,DT-Presenter,0,15,1
03-04-2023,15,DT-Presenter,0,15,1
03-04-2023,16,DT-Presenter,0,16,1
03-04-2023,16,DT-Presenter,0,16,1
03-04-2023,17,DT-Presenter,0,17,1
03-04-2023,17,DT-Presenter,0,17,1
03-04-2023,18,DT-Presenter,0,18,1
03-04-2023,18,DT-Presenter,0,18,1
03-04-2023,19,DT-Presenter,0,19,1
03-04-2023,19,DT-Presenter,0,19,1
03-04-2023,20,DT-Presenter,0,20,1
03-04-2023,20,DT-Presenter,0,20,1
03-04-2023,21,DT-Presenter,0,21,1
03-04-2023,21,DT-Presenter,0,21,1
03-04-2023,22,DT-Presenter,0,22,1
03-04-2023,22,DT-Presenter,0,22,1
03-04-2023,23,DT-Presenter,0,23,1
03-04-2023,23,DT-Presenter,0,23,1
04-04-2023,24,DT-Presenter,0,0,1
04-04-2023,24,DT-Presenter,0,0,1
04-04-2023,25,DT-Presenter,0,1,1
04-04-2023,25,DT-Presenter,0,1,1
04-04-2023,26,DT-Presenter,0,2,1
04-04-2023,26,DT-Presenter,0,2,1
04-04-2023,27,DT-Presenter,0,3,1
04-04-2023,27,DT-Presenter,0,3,1
04-04-2023,28,DT-Presenter,0,4,1
04-04-2023,28,DT-Presenter,0,4,1
04-04-2023,29,DT-Presenter,0,5,1
04-04-2023,29,DT-Presenter,0,5,1
03-04-2023,6,GEL,0,6,1
03-04-2023,7,GEL,0,7,1
03-04-2023,8,GEL,0,8,1
03-04-2023,9,GEL,0,9,1
03-04-2023,10,GEL,0,10,1
03-04-2023,11,GEL,0,11,1
03-04-2023,12,GEL,1,12,1
03-04-2023,13,GEL,1,13,1
03-04-2023,14,GEL,1,14,1
03-04-2023,15,GEL,1,15,1
03-04-2023,16,GEL,0,16,1
03-04-2023,17,GEL,1,17,1
03-04-2023,18,GEL,1,18,1
03-04-2023,19,GEL,1,19,1
03-04-2023,20,GEL,1,20,1
03-04-2023,21,GEL,1,21,1
03-04-2023,22,GEL,0,22,1
03-04-2023,23,GEL,0,23,1
04-04-2023,24,GEL,0,0,1
04-04-2023,25,GEL,0,1,1
04-04-2023,26,GEL,0,2,1
04-04-2023,27,GEL,0,3,1
04-04-2023,28,GEL,0,4,1
04-04-2023,29,GEL,0,5,1
03-04-2023,6,Chaser Non Veg,0,6,1
03-04-2023,6,Chaser Non Veg,0,6,1
03-04-2023,7,Chaser Non Veg,0,7,1
03-04-2023,7,Chaser Non Veg,0,7,1
03-04-2023,8,Chaser Non Veg,0,8,1
